cleaned_questions,Number Count,Array,String,Dynamic Programming,Math,Hash Table,Greedy,Sorting,Depth-First Search,Breadth-First Search,Binary Search
next greater element next greater element element array first greater element right array given two distinct indexed integer array nums nums nums subset nums numslength find index numsi numsj determine next greater element numsj nums next greater element answer query return array an length numslength ansi next greater element described above,13,1,0,0,0,1,0,0,0,0,0
rotate array given array rotate array right step nonnegative,0,1,0,0,1,0,0,0,0,0,0
data stream disjoint interval given data stream input nonnegative integer summarize number seen far list disjoint interval implement summaryranges class,2,0,0,0,0,0,0,0,0,0,1
min cost connect point given array point representing integer coordinate point dplane pointsi cost connecting two point manhattan distance them val denotes absolute value val return minimum cost make point connected point connected exactly one simple path two point,1,1,0,0,0,0,0,0,0,0,0
lexicographically smallest string applying operation given string even length consisting digit two integer apply either following two operation number time order return lexicographically smallest string obtain applying operation number time string lexicographically smaller string length first position differ string letter appears earlier alphabet corresponding letter example lexicographically smaller first position differ third letter come,6,0,1,0,0,0,0,0,0,1,0
replace substring balanced string given string length containing four kind character string said balanced character appears time length string return minimum length substring replaced string length make balanced already balanced return,2,0,1,0,0,0,0,0,0,0,0
maximum performance team given two integer two integer array speed efficiency length engineer numbered speedi efficiencyi represent speed efficiency ith engineer respectively choose different engineer engineer form team maximum performance performance team sum engineer speed multiplied minimum efficiency among engineer return maximum performance team since answer huge number return modulo,3,1,0,0,0,0,1,1,0,0,0
duplicate zero given fixedlength integer array arr duplicate occurrence zero shifting remaining element right note element beyond length original array written modification input array place return anything,0,1,0,0,0,0,0,0,0,0,0
largest perimeter triangle given integer array nums return largest perimeter triangle nonzero area formed three length impossible form triangle nonzero area return,1,1,0,0,1,0,1,1,0,0,0
robot bounded circle infinite plane robot initially stand face north note that robot receive one three instruction robot performs instruction given order repeat forever return true exists circle plane robot never leaf circle,2,0,1,0,1,0,0,0,0,0,0
matrix diagonal sum given square matrix mat return sum matrix diagonal include sum element primary diagonal element secondary diagonal part primary diagonal,0,1,0,0,0,0,0,0,0,0,0
find player zero one loss given integer array match matchesi winneri loseri indicates player winneri defeated player loseri match return list answer size where value two list returned increasing order note,1,1,0,0,0,1,0,1,0,0,0
consecutive number sum given integer return number way write sum consecutive positive integer,0,0,0,0,1,0,0,0,0,0,0
filter restaurant veganfriendly price distance given array restaurant restaurantsi idi ratingi veganfriendlyi pricei distancei filter restaurant using three filter veganfriendly filter either true meaning include restaurant veganfriendlyi set true false meaning include restaurant addition filter maxprice maxdistance maximum value price distance restaurant consider respectively return array restaurant id filtering ordered rating highest lowest restaurant rating order highest lowest simplicity veganfriendlyi veganfriendly take value true false,2,1,0,0,0,0,0,1,0,0,0
last day still cross based binary matrix represents land represents water given integer row col representing number row column matrix respectively initially day entire matrix land however day new cell becomes flooded water given based array cell cellsi represents ith day cell rith row cith column based coordinate covered water changed want find last day possible walk top bottom walking land cell start cell top row end cell bottom row travel four cardinal direction left right down return last day possible walk top bottom walking land cell,8,1,0,0,0,0,0,0,1,1,1
reduce array size half given integer array arr choose set integer remove occurrence integer array return minimum size set least half integer array removed,0,1,0,0,0,1,1,1,0,0,0
array doubled pair given integer array even length arr return true possible reorder arr arr arr every lenarr false otherwise,6,1,0,0,0,1,1,1,0,0,0
insert delete getrandom implement randomizedset class must implement function class function work average time complexity,2,1,0,0,1,1,0,0,0,0,0
find minimum rotated sorted array suppose array length sorted ascending order rotated time example array nums might become notice rotating array time result array given sorted rotated array nums unique element return minimum element array must write algorithm run olog time,18,1,0,0,0,0,0,0,0,0,1
largest triangle area given array point plane point pointsi return area largest triangle formed three different point answer within actual answer accepted,2,1,0,0,1,0,0,0,0,0,0
minimized maximum product distributed store given integer indicating specialty retail store product type varying amount given indexed integer array quantity quantitiesi represents number product ith product type need distribute product retail store following rule return minimum possible,1,1,0,0,0,0,0,0,0,0,1
closest point origin given array point pointsi represents point plane integer return closest point origin distance two point plane euclidean distance may return answer order answer guaranteed unique except order,8,1,0,0,1,0,0,1,0,0,0
detect pattern length repeated time given array positive integer arr find pattern length repeated time pattern subarray consecutive subsequence consists one value repeated multiple time consecutively without overlapping pattern defined length number repetition return true exists pattern length repeated time otherwise return false,0,1,0,0,0,0,0,0,0,0,0
binary tree coloring game two player play turn based game binary tree given root binary tree number node tree odd node distinct value initially first player name value second player name value first player color node value red second player color node value blue then player take turn starting first player turn player chooses node color red player blue player color uncolored neighbor chosen node either left child right child parent chosen node and player cannot choose node way must pas turn player pas turn game end winner player colored node second player possible choose ensure win game return true possible return false,5,0,0,0,0,0,0,0,1,0,0
nqueens nqueens puzzle problem placing queen chessboard two queen attack other given integer return distinct solution nqueens puzzle may return answer order solution contains distinct board configuration nqueens placement indicate queen empty space respectively,0,1,0,0,0,0,0,0,0,0,0
reverse substring pair parenthesis given string consists lower case english letter bracket reverse string pair matching parenthesis starting innermost one result contain bracket,0,0,1,0,0,0,0,0,0,0,0
find difference two array given two indexed integer array nums nums return list answer size where note integer list may returned order,4,1,0,0,0,1,0,0,0,0,0
similar string group two string similar swap two letter different position equal also two string similar equal example tar rat similar swapping position rat art similar star similar tar rat art together form two connected group similarity tar rat art star notice tar art group even though similar formally group word group similar least one word group given list strs string every string strs anagram every string strs many group there,2,1,1,0,0,0,0,0,1,1,0
sum two integer given two integer return sum two integer without using operator,0,0,0,0,1,0,0,0,0,0,0
map highest peak given integer matrix iswater size represents map land water cell must assign cell height way follows rule find assignment height maximum height matrix maximized return integer matrix height size heightij cell height multiple solution return them,0,1,0,0,0,0,0,0,0,1,0
minimum difference largest smallest value three move given integer array nums one move choose one element nums change value return minimum difference largest smallest value nums performing three move,0,1,0,0,0,0,1,1,0,0,0
minimize maximum pair sum array pair sum pair equal maximum pair sum largest pair sum list pair given array nums even length pair element nums pair that return minimized maximum pair sum optimally pairing element,1,1,0,0,0,0,1,1,0,0,0
repeated dna sequence dna sequence composed series nucleotide abbreviated studying dna useful identify repeated sequence within dna given string represents dna sequence return letterlong sequence substring occur dna molecule may return answer order,1,0,1,0,0,1,0,0,0,0,0
sort item group respecting dependency item belonging zero one group groupi group ith item belongs equal ith item belongs group item group zero indexed group item belonging return sorted list item that return solution one solution return empty list solution,1,0,0,0,0,0,0,0,1,1,0
rotating box given matrix character box representing sideview box cell box one following box rotated degree clockwise causing stone fall due gravity stone fall land obstacle another stone bottom box gravity affect obstacle position inertia box rotation affect stone horizontal position guaranteed stone box rest obstacle another stone bottom box return matrix representing box rotation described above,1,1,0,0,0,0,0,0,0,0,0
binary tree maximum path sum path binary tree sequence node pair adjacent node sequence edge connecting them node appear sequence once note path need pas root path sum path sum node value path given root binary tree return maximum path sum nonempty path,0,0,0,1,0,0,0,0,1,0,0
maximum ice cream bar sweltering summer day boy want buy ice cream bar store ice cream bar given array cost length costsi price ith ice cream bar coin boy initially coin coin spend want buy many ice cream bar possible return maximum number ice cream bar boy buy coin coin note boy buy ice cream bar order,0,1,0,0,0,0,1,1,0,0,0
sentence similarity iii sentence list word separated single space leading trailing space example hello world hello hello world hello world sentence word consist uppercase lowercase english letter two sentence sentence sentence similar possible insert arbitrary sentence possibly empty inside one sentence two sentence become equal example sentence hello name jane sentence hello jane made equal inserting name hello jane sentence given two sentence sentence sentence return true sentence sentence similar otherwise return false,9,1,1,0,0,0,0,0,0,0,0
find smallest letter greater target given character array letter sorted nondecreasing order character target return smallest character array larger target note letter wrap around,0,1,0,0,0,0,0,0,0,0,1
binary tree factor given array unique integer arr integer arri strictly greater make binary tree using integer number may used number time nonleaf node value equal product value child return number binary tree make answer may large return answer modulo,3,1,0,1,0,1,0,0,0,0,0
shuffle string given string integer array index length string shuffled character ith position move indicesi shuffled string return shuffled string,0,1,1,0,0,0,0,0,0,0,0
number island given binary grid grid represents map land water return number island island surrounded water formed connecting adjacent land horizontally vertically may assume four edge grid surrounded water,3,1,0,0,0,0,0,0,1,1,0
delete column make sorted given array string strs length string arranged one line making grid example strs abc bce cae arranged want delete column sorted lexicographically example indexed column sorted column not would delete column return number column delete,5,1,1,0,0,0,0,0,0,0,0
sort array parity given integer array nums move even integer beginning array followed odd integer return array satisfies condition,0,1,0,0,0,0,0,1,0,0,0
maximum value given index bounded array given three positive integer index maxsum want construct array nums indexed satisfies following condition return numsindex constructed array note absx equal otherwise,2,0,0,0,0,0,1,0,0,0,1
find latest group size given array arr represents permutation number binary string size initially bit set zero step assuming binary string arr indexed bit position arri set also given integer find latest step exists group one length group one contiguous substring cannot extended either direction return latest step exists group one length exactly group exists return,6,1,0,0,0,0,0,0,0,0,1
minimum size subarray sum given array positive integer nums positive integer target return minimal length contiguous subarray numsl numsl numsr numsr sum greater equal target subarray return instead,3,1,0,0,0,0,0,0,0,0,1
student attendance record attendance record student represented string character signifies whether student absent late present day record contains following three character student eligible attendance award meet following criterion given integer return number possible attendance record length make student eligible attendance award answer may large return modulo,2,0,0,1,0,0,0,0,0,0,0
number pair string concatenation equal target given array digit string nums digit string target return number pair index where concatenation numsi numsj equal target,0,1,1,0,0,0,0,0,0,0,0
maximize confusion exam teacher writing test truefalse question denoting true denoting false want confuse student maximizing number consecutive question answer multiple true multiple falses row given string answerkey answerkeyi original answer ith question addition given integer maximum number time may perform following operation return maximum number consecutive answer key performing operation time,0,0,1,0,0,0,0,0,0,0,1
shuffle array given integer array nums design algorithm randomly shuffle array permutation array equally likely result shuffling implement solution class,0,1,0,0,1,0,0,0,0,0,0
number submatrices sum target given matrix target return number nonempty submatrices sum target submatrix set cell matrixxy two submatrices different coordinate different example,18,1,0,0,0,1,0,0,0,0,0
way make fair array given integer array nums choose exactly one index indexed remove element notice index element may change removal example nums array fair sum oddindexed value equal sum evenindexed value return number index could choose removal nums fair,6,1,0,1,0,0,0,0,0,0,0
longer contiguous segment one zero given binary string return true longest contiguous segment strictly longer longest contiguous segment return false otherwise note longest continuous segment considered length applies,6,0,1,0,0,0,0,0,0,0,0
maximum number point cost given integer matrix point indexed starting point want maximize number point get matrix gain point must pick one cell row picking cell coordinate add pointsrc score however lose point pick cell far cell picked previous row every two adjacent row where picking cell coordinate subtract absc score return maximum number point achieve absx defined,10,1,0,1,0,0,0,0,0,0,0
minimum space wasted packaging package trying place box one package box supplier produce box different size with infinite supply package placed box size package le equal size box package size given integer array package packagesi size ith package supplier given integer array box boxesj array box size jth supplier produce want choose single supplier use box total wasted space minimized package box define space wasted size box size package total wasted space sum space wasted box return minimum total wasted space choosing box supplier optimally impossible fit package inside box since answer may large return modulo,4,1,0,0,0,0,0,1,0,0,1
combination sum given array distinct integer candidate target integer target return list unique combination candidate chosen number sum target may return combination order number may chosen candidate unlimited number time two combination unique frequency least one chosen number different guaranteed number unique combination sum target le combination given input,1,1,0,0,0,0,0,0,0,0,0
goal parser interpretation goal parser interpret string command command consists alphabet andor order goal parser interpret string string string interpreted string concatenated original order given string command return goal parser interpretation command,0,0,1,0,0,0,0,0,0,0,0
maximum employee invited meeting company organizing meeting list employee waiting invited arranged large circular table capable seating number employee employee numbered employee favorite person attend meeting sit next favorite person table favorite person employee themself given indexed integer array favorite favoritei denotes favorite person ith employee return maximum number employee invited meeting,3,0,0,0,0,0,0,0,1,0,0
delete character make fancy string fancy string string three consecutive character equal given string delete minimum possible number character make fancy return final string deletion shown answer always unique,0,0,1,0,0,0,0,0,0,0,0
recover original array alice indexed array arr consisting positive integer chose arbitrary positive integer created two new indexed integer array lower higher following manner unfortunately alice lost three array however remembers integer present array lower higher array integer belonged help alice recover original array given array nums consisting integer exactly integer present lower remaining higher return original array arr case answer unique return valid array note test case generated exists least one valid array arr,3,1,0,0,0,1,0,1,0,0,0
encrypt decrypt string given character array key containing unique character string array value containing string length also given another string array dictionary contains permitted original string decryption implement data structure encrypt decrypt indexed string string encrypted following process note case character string present key encryption process cannot carried out empty string returned string decrypted following process implement encrypter class,2,1,1,0,0,1,0,0,0,0,0
smallest good base given integer represented string return smallest good base call good base digit base,2,0,0,0,1,0,0,0,0,0,1
valid mountain array given array integer arr return true valid mountain array recall arr mountain array,0,1,0,0,0,0,0,0,0,0,0
diameter binary tree given root binary tree return length diameter tree diameter binary tree length longest path two node tree path may may pas root length path two node represented number edge them,0,0,0,0,0,0,0,0,1,0,0
sum subsequence width width sequence difference maximum minimum element sequence given array integer nums return sum width nonempty subsequence nums since answer may large return modulo subsequence sequence derived array deleting element without changing order remaining element example subsequence array,13,1,0,0,1,0,0,1,0,0,0
leafsimilar tree consider leaf binary tree left right order value leaf form leaf value sequence example given tree above leaf value sequence two binary tree considered leafsimilar leaf value sequence same return true two given tree head node root root leafsimilar,7,0,0,0,0,0,0,0,1,0,0
number string appear substring word given array string pattern string word return number string pattern exist substring word substring contiguous sequence character within string,0,0,1,0,0,0,0,0,0,0,0
stamping grid given binary matrix grid cell either empty occupied given stamp size stampheight stampwidth want fit stamp follow given restriction requirement return true possible fit stamp following given restriction requirement otherwise return false,2,1,0,0,0,0,1,0,0,0,0
sum closest given integer array nums length integer target find three integer nums sum closest target return sum three integer may assume input would exactly one solution,1,1,0,0,0,0,0,1,0,0,0
latest time replacing hidden digit given string time form hhmm digit string hidden represented valid time inclusively return latest valid time get time replacing hidden digit,4,0,1,0,0,0,1,0,0,0,0
pseudopalindromic path binary tree given binary tree node value digit path binary tree said pseudopalindromic least one permutation node value path palindrome return number pseudopalindromic path going root node leaf node,2,0,0,0,0,0,0,0,1,1,0
maximum width ramp ramp integer array nums pair numsi numsj width ramp given integer array nums return maximum width ramp nums ramp nums return,1,1,0,0,0,0,0,0,0,0,0
circular array loop playing game involving circular array nonzero integer nums numsi denotes number index forwardbackward must move located index since array circular may assume moving forward last element put first element moving backwards first element put last element cycle array consists sequence index seq length where return true cycle nums false otherwise,0,1,0,0,0,1,0,0,0,0,0
convert sorted array binary search tree given integer array nums element sorted ascending order convert heightbalanced binary search tree heightbalanced binary tree binary tree depth two subtrees every node never differs one,0,1,0,0,0,0,0,0,0,0,0
count operation obtain zero given two nonnegative integer num num one operation num num must subtract num num otherwise subtract num num return number operation required make either num num,12,0,0,0,1,0,0,0,0,0,0
peeking iterator design iterator support peek operation existing iterator addition hasnext next operation implement peekingiterator class note language may different implementation constructor iterator support int next boolean hasnext function,0,1,0,0,0,0,0,0,0,0,0
binary tree postorder traversal given root binary tree return postorder traversal node value,0,0,0,0,0,0,0,0,1,0,0
search matrix write efficient algorithm search value target integer matrix matrix matrix following property,1,1,0,0,0,0,0,0,0,0,1
maximum score removing substring given string two integer perform two type operation number time return maximum point gain applying operation,0,0,1,0,0,0,1,0,0,0,0
people whose list favorite company subset another list given array favoritecompanies favoritecompaniesi list favorite company ith person indexed return index people whose list favorite company subset list favorite company must return index increasing order,1,1,1,0,0,1,0,0,0,0,0
number way split string given binary string split nonempty string return number way split number one since answer may large return modulo,12,0,1,0,1,0,0,0,0,0,0
minimum number step make two string anagram given two string one step append character either return minimum number step make anagram other anagram string string contains character different same ordering,0,0,1,0,0,1,0,0,0,0,0
subset given integer array nums may contain duplicate return possible subset the power set solution set must contain duplicate subset return solution order,0,1,0,0,0,0,0,0,0,0,0
shortest path binary matrix given binary matrix grid return length shortest clear path matrix clear path return clear path binary matrix path topleft cell bottomright cell that length clear path number visited cell path,5,1,0,0,0,0,0,0,0,1,0
count square sum triple square triple abc triple integer given integer return number square triple,4,0,0,0,1,0,0,0,0,0,0
maximum unit truck assigned put amount box onto one truck given array boxtypes boxtypesi numberofboxesi numberofunitsperboxi also given integer trucksize maximum number box put truck choose box put truck long number box exceed trucksize return maximum total number unit put truck,1,1,0,0,0,0,1,1,0,0,0
zigzag conversion string paypalishiring written zigzag pattern given number row like this you may want display pattern fixed font better legibility read line line pahnaplsiigyir write code take string make conversion given number row,0,0,1,0,0,0,0,0,0,0,0
