Number Count,cleaned_questions,Array,String,Dynamic Programming,Math,Hash Table,Greedy,Sorting,Depth-First Search,Breadth-First Search,Binary Search
1,sum closest given integer array nums length integer target find three integer nums sum closest target return sum three integer may assume input would exactly one solution,1,0,0,0,0,0,1,0,0,0
3,letter combination phone number given string containing digit inclusive return possible letter combination number could represent return answer order mapping digit letter just like telephone button given below note map letter,0,1,0,0,1,0,0,0,0,0
1,sum given array nums integer return array unique quadruplet numsa numsb numsc numsd that may return answer order,1,0,0,0,0,0,1,0,0,0
0,valid parenthesis given string containing character determine input string valid input string valid,0,1,0,0,0,0,0,0,0,0
0,generate parenthesis given pair parenthesis write function generate combination wellformed parenthesis,0,1,1,0,0,0,0,0,0,0
1,remove duplicate sorted array given integer array nums sorted nondecreasing order remove duplicate inplace unique element appears once relative order element kept same since impossible change length array language must instead result placed first part array nums formally element removing duplicate first element nums hold final result matter leave beyond first element return placing final result first slot nums allocate extra space another array must modifying input array inplace extra memory custom judge judge test solution following code assertion pas solution accepted,1,0,0,0,0,0,0,0,0,0
1,remove element given integer array nums integer val remove occurrence val nums inplace relative order element may changed since impossible change length array language must instead result placed first part array nums formally element removing duplicate first element nums hold final result matter leave beyond first element return placing final result first slot nums allocate extra space another array must modifying input array inplace extra memory custom judge judge test solution following code assertion pas solution accepted,1,0,0,0,0,0,0,0,0,0
2,implement strstr implement strstr given two string needle haystack return index first occurrence needle haystack needle part haystack clarification return needle empty string great question ask interview purpose problem return needle empty string consistent strstr java indexof,0,1,0,0,0,0,0,0,0,0
16,divide two integer given two integer dividend divisor divide two integer without using multiplication division mod operator integer division truncate toward zero mean losing fractional part example would truncated would truncated return quotient dividing dividend divisor note assume dealing environment could store integer within bit signed integer range problem quotient strictly greater return quotient strictly le return,0,0,0,1,0,0,0,0,0,0
0,substring concatenation word given string array string word length return starting index substring concatenation word word exactly once order without intervening character return answer order,0,1,0,0,1,0,0,0,0,0
0,next permutation permutation array integer arrangement member sequence linear order next permutation array integer next lexicographically greater permutation integer formally permutation array sorted one container according lexicographical order next permutation array permutation follows sorted container arrangement possible array must rearranged lowest possible order sorted ascending order given array integer nums find next permutation nums replacement must place use constant extra memory,1,0,0,0,0,0,0,0,0,0
0,longest valid parenthesis given string containing character find length longest valid wellformed parenthesis substring,0,1,1,0,0,0,0,0,0,0
23,search rotated sorted array integer array nums sorted ascending order with distinct value prior passed function nums possibly rotated unknown pivot index numslength resulting array numsk numsk numsn nums nums numsk indexed example might rotated pivot index become given array nums possible rotation integer target return index target nums nums must write algorithm olog runtime complexity,1,0,0,0,0,0,0,0,0,1
2,find first last position element sorted array given array integer nums sorted nondecreasing order find starting ending position given target value target found array return must write algorithm olog runtime complexity,1,0,0,0,0,0,0,0,0,1
0,search insert position given sorted array distinct integer target value return index target found not return index would inserted order must write algorithm olog runtime complexity,1,0,0,0,0,0,0,0,0,1
2,valid sudoku determine sudoku board valid filled cell need validated according following rule note,1,0,0,0,1,0,0,0,0,0
0,sudoku solver write program solve sudoku puzzle filling empty cell sudoku solution must satisfy following rule character indicates empty cell,1,0,0,0,0,0,0,0,0,0
1,count say countandsay sequence sequence digit string defined recursive formula determine say digit string split minimal number group group contiguous section character group say number character say character convert saying digit string replace count number concatenate every saying example saying conversion digit string given positive integer return nth term countandsay sequence,0,1,0,0,0,0,0,0,0,0
1,combination sum given array distinct integer candidate target integer target return list unique combination candidate chosen number sum target may return combination order number may chosen candidate unlimited number time two combination unique frequency least one chosen number different guaranteed number unique combination sum target le combination given input,1,0,0,0,0,0,0,0,0,0
0,combination sum given collection candidate number candidate target number target find unique combination candidate candidate number sum target number candidate may used combination note solution set must contain duplicate combination,1,0,0,0,0,0,0,0,0,0
0,first missing positive given unsorted integer array nums return smallest missing positive integer must implement algorithm run time us constant extra space,1,0,0,0,1,0,0,0,0,0
1,trapping rain water given nonnegative integer representing elevation map width bar compute much water trap raining,1,0,1,0,0,0,0,0,0,0
4,multiply string given two nonnegative integer num num represented string return product num num also represented string note must use builtin biginteger library convert input integer directly,0,1,0,1,0,0,0,0,0,0
0,wildcard matching given input string pattern implement wildcard pattern matching support where matching cover entire input string not partial,0,1,1,0,0,1,0,0,0,0
0,jump game given array nonnegative integer nums initially positioned first index array element array represents maximum jump length position goal reach last index minimum number jump assume always reach last index,1,0,1,0,0,1,0,0,0,0
0,permutation given array nums distinct integer return possible permutation return answer order,1,0,0,0,0,0,0,0,0,0
0,permutation given collection number nums might contain duplicate return possible unique permutation order,1,0,0,0,0,0,0,0,0,0
4,rotate image given matrix representing image rotate image degree clockwise rotate image inplace mean modify input matrix directly allocate another matrix rotation,1,0,0,1,0,0,0,0,0,0
0,group anagram given array string strs group anagram together return answer order anagram word phrase formed rearranging letter different word phrase typically using original letter exactly once,0,1,0,0,1,0,1,0,0,0
0,powx implement powx calculates raised power,0,0,0,1,0,0,0,0,0,0
0,nqueens nqueens puzzle problem placing queen chessboard two queen attack other given integer return distinct solution nqueens puzzle may return answer order solution contains distinct board configuration nqueens placement indicate queen empty space respectively,1,0,0,0,0,0,0,0,0,0
0,maximum subarray given integer array nums find contiguous subarray containing least one number largest sum return sum subarray contiguous part array,1,0,1,0,0,0,0,0,0,0
0,spiral matrix given matrix return element matrix spiral order,1,0,0,0,0,0,0,0,0,0
0,jump game given integer array nums initially positioned array first index element array represents maximum jump length position return true reach last index false otherwise,1,0,1,0,0,1,0,0,0,0
0,merge interval given array interval intervalsi starti endi merge overlapping interval return array nonoverlapping interval cover interval input,1,0,0,0,0,0,1,0,0,0
0,insert interval given array nonoverlapping interval interval intervalsi starti endi represent start end ith interval interval sorted ascending order starti also given interval newinterval start end represents start end another interval insert newinterval interval interval still sorted ascending order starti interval still overlapping interval merge overlapping interval necessary return interval insertion,1,0,0,0,0,0,0,0,0,0
0,length last word given string consisting word separated number space return length last word string word maximal substring consisting nonspace character only,0,1,0,0,0,0,0,0,0,0
2,spiral matrix given positive integer generate matrix filled element spiral order,1,0,0,0,0,0,0,0,0,0
4,permutation sequence set contains total unique permutation listing labeling permutation order get following sequence given return kth permutation sequence,0,0,0,1,0,0,0,0,0,0
6,unique path robot grid robot initially located topleft corner grid robot try move bottomright corner gridm robot move either right point time given two integer return number possible unique path robot take reach bottomright corner test case generated answer le equal,0,0,1,1,0,0,0,0,0,0
8,unique path given integer array grid robot initially located topleft corner grid robot try move bottomright corner gridmn robot move either right point time obstacle space marked respectively grid path robot take cannot include square obstacle return number possible unique path robot take reach bottomright corner testcases generated answer le equal,1,0,1,0,0,0,0,0,0,0
0,minimum path sum given grid filled nonnegative number find path top left bottom right minimizes sum number along path note move either right point time,1,0,1,0,0,0,0,0,0,0
33,valid number valid number split component order decimal number split component order integer split component order example following valid number following valid number abc given string return true valid number,0,1,0,0,0,0,0,0,0,0
1,plus one given large integer represented integer array digit digitsi ith digit integer digit ordered significant least significant lefttoright order large integer contain leading increment large integer one return resulting array digit,1,0,0,1,0,0,0,0,0,0
0,add binary given two binary string return sum binary string,0,1,0,1,0,0,0,0,0,0
0,text justification given array string word width maxwidth format text line exactly maxwidth character fully left right justified pack word greedy approach pack many word line pad extra space necessary line exactly maxwidth character extra space word distributed evenly possible number space line divide evenly word empty slot left assigned space slot right last line text leftjustified extra space inserted word note,1,1,0,0,0,0,0,0,0,0
4,sqrtx given nonnegative integer compute return square root since return type integer decimal digit truncated integer part result returned note allowed use builtin exponent function operator powx,0,0,0,1,0,0,0,0,0,1
2,climbing stair climbing staircase take step reach top time either climb step many distinct way climb top,0,0,1,1,0,0,0,0,0,0
0,simplify path given string path absolute path starting slash file directory unixstyle file system convert simplified canonical path unixstyle file system period refers current directory double period refers directory level multiple consecutive slash treated single slash problem format period treated filedirectory name canonical path following format return simplified canonical path,0,1,0,0,0,0,0,0,0,0
4,edit distance given two string word word return minimum number operation required convert word word following three operation permitted word,0,1,1,0,0,0,0,0,0,0
2,set matrix zero given integer matrix matrix element set entire row column must place,1,0,0,0,1,0,0,0,0,0
1,search matrix write efficient algorithm search value target integer matrix matrix matrix following property,1,0,0,0,0,0,0,0,0,1
3,sort color given array nums object colored red white blue sort inplace object color adjacent color order red white blue use integer represent color red white blue respectively must solve problem without using library sort function,1,0,0,0,0,0,1,0,0,0
0,minimum window substring given two string length respectively return minimum window substring every character including duplicate included window substring return empty string testcases generated answer unique substring contiguous sequence character within string,0,1,0,0,1,0,0,0,0,0
0,subset given integer array nums unique element return possible subset the power set solution set must contain duplicate subset return solution order,1,0,0,0,0,0,0,0,0,0
0,word search given grid character board string word return true word exists grid word constructed letter sequentially adjacent cell adjacent cell horizontally vertically neighboring letter cell may used once,1,0,0,0,0,0,0,0,0,0
1,remove duplicate sorted array given integer array nums sorted nondecreasing order remove duplicate inplace unique element appears twice relative order element kept same since impossible change length array language must instead result placed first part array nums formally element removing duplicate first element nums hold final result matter leave beyond first element return placing final result first slot nums allocate extra space another array must modifying input array inplace extra memory custom judge judge test solution following code assertion pas solution accepted,1,0,0,0,0,0,0,0,0,0
28,search rotated sorted array integer array nums sorted nondecreasing order not necessarily distinct value passed function nums rotated unknown pivot index numslength resulting array numsk numsk numsn nums nums numsk indexed example might rotated pivot index become given array nums rotation integer target return true target nums false nums must decrease overall operation step much possible,1,0,0,0,0,0,0,0,0,1
1,largest rectangle histogram given array integer height representing histogram bar height width bar return area largest rectangle histogram,1,0,0,0,0,0,0,0,0,0
3,maximal rectangle given row col binary matrix filled find largest rectangle containing return area,1,0,1,0,0,0,0,0,0,0
4,scramble string scramble string get string using following algorithm given two string length return true scrambled string otherwise return false,0,1,1,0,0,0,0,0,0,0
10,merge sorted array given two integer array nums nums sorted nondecreasing order two integer representing number element nums nums respectively merge nums nums single array sorted nondecreasing order final sorted array returned function instead stored inside array nums accommodate this nums length first element denote element merged last element set ignored nums length,1,0,0,0,0,0,1,0,0,0
1,gray code nbit gray code sequence sequence integer where given integer return valid nbit gray code sequence,0,0,0,1,0,0,0,0,0,0
0,subset given integer array nums may contain duplicate return possible subset the power set solution set must contain duplicate subset return solution order,1,0,0,0,0,0,0,0,0,0
8,decode way message containing letter encoded number using following mapping decode encoded message digit must grouped mapped back letter using reverse mapping there may multiple way example mapped into note grouping invalid cannot mapped since different given string containing digit return number way decode test case generated answer fit bit integer,0,1,1,0,0,0,0,0,0,0
2,restore address valid address consists exactly four integer separated single dot integer inclusive cannot leading zero given string containing digit return possible valid address formed inserting dot allowed reorder remove digit may return valid address order,0,1,0,0,0,0,0,0,0,0
0,binary tree inorder traversal given root binary tree return inorder traversal node value,0,0,0,0,0,0,0,1,0,0
1,unique binary search tree given integer return structurally unique bsts binary search tree exactly node unique value return answer order,0,0,1,0,0,0,0,0,0,0
1,unique binary search tree given integer return number structurally unique bsts binary search tree exactly node unique value,0,0,1,1,0,0,0,0,0,0
6,interleaving string given string find whether formed interleaving interleaving two string configuration divided nonempty substring that note concatenation string,0,1,1,0,0,0,0,0,0,0
0,validate binary search tree given root binary tree determine valid binary search tree bst valid bst defined follows,0,0,0,0,0,0,0,1,0,0
0,recover binary search tree given root binary search tree bst value exactly two node tree swapped mistake recover tree without changing structure,0,0,0,0,0,0,0,1,0,0
0,tree given root two binary tree write function check not two binary tree considered structurally identical node value,0,0,0,0,0,0,0,1,1,0
0,symmetric tree given root binary tree check whether mirror symmetric around center,0,0,0,0,0,0,0,1,1,0
0,binary tree level order traversal given root binary tree return level order traversal node value left right level level,0,0,0,0,0,0,0,0,1,0
0,binary tree zigzag level order traversal given root binary tree return zigzag level order traversal node value left right right left next level alternate between,0,0,0,0,0,0,0,0,1,0
0,maximum depth binary tree given root binary tree return maximum depth binary tree maximum depth number node along longest path root node farthest leaf node,0,0,0,0,0,0,0,1,1,0
0,construct binary tree preorder inorder traversal given two integer array preorder inorder preorder preorder traversal binary tree inorder inorder traversal tree construct return binary tree,1,0,0,0,1,0,0,0,0,0
0,construct binary tree inorder postorder traversal given two integer array inorder postorder inorder inorder traversal binary tree postorder postorder traversal tree construct return binary tree,1,0,0,0,1,0,0,0,0,0
0,binary tree level order traversal given root binary tree return bottomup level order traversal node value left right level level leaf root,0,0,0,0,0,0,0,0,1,0
0,convert sorted array binary search tree given integer array nums element sorted ascending order convert heightbalanced binary search tree heightbalanced binary tree binary tree depth two subtrees every node never differs one,1,0,0,0,0,0,0,0,0,0
1,balanced binary tree given binary tree determine heightbalanced problem heightbalanced binary tree defined binary tree left right subtrees every node differ height,0,0,0,0,0,0,0,1,0,0
0,minimum depth binary tree given binary tree find minimum depth minimum depth number node along shortest path root node nearest leaf node note leaf node child,0,0,0,0,0,0,0,1,1,0
0,path sum given root binary tree integer targetsum return true tree roottoleaf path adding value along path equal targetsum leaf node child,0,0,0,0,0,0,0,1,1,0
0,path sum given root binary tree integer targetsum return roottoleaf path sum node value path equal targetsum path returned list node value node reference roottoleaf path path starting root ending leaf node leaf node child,0,0,0,0,0,0,0,1,0,0
0,flatten binary tree linked list given root binary tree flatten tree linked list,0,0,0,0,0,0,0,1,0,0
1,distinct subsequence given two string return number distinct subsequence equal string subsequence new string formed original string deleting can none character without disturbing remaining character relative position ace subsequence abcde aec not test case generated answer fit bit signed integer,0,1,1,0,0,0,0,0,0,0
0,populating next right pointer node given perfect binary tree leaf level every parent two child binary tree following definition populate next pointer point next right node next right node next pointer set null initially next pointer set null,0,0,0,0,0,0,0,1,1,0
0,populating next right pointer node given binary tree populate next pointer point next right node next right node next pointer set null initially next pointer set null,0,0,0,0,0,0,0,1,1,0
0,pascal triangle given integer numrows return first numrows pascal triangle pascal triangle number sum two number directly shown,1,0,1,0,0,0,0,0,0,0
1,pascal triangle given integer rowindex return rowindexth indexed row pascal triangle pascal triangle number sum two number directly shown,1,0,1,0,0,0,0,0,0,0
1,triangle given triangle array return minimum path sum top bottom step may move adjacent number row below formally index current row may move either index index next row,1,0,1,0,0,0,0,0,0,0
1,best time buy sell stock given array price pricesi price given stock ith day want maximize profit choosing single day buy one stock choosing different day future sell stock return maximum profit achieve transaction cannot achieve profit return,1,0,1,0,0,0,0,0,0,0
0,best time buy sell stock given integer array price pricesi price given stock ith day day may decide buy andor sell stock hold one share stock time however buy immediately sell day find return maximum profit achieve,1,0,1,0,0,1,0,0,0,0
0,best time buy sell stock iii given array price pricesi price given stock ith day find maximum profit achieve may complete two transaction note may engage multiple transaction simultaneously must sell stock buy again,1,0,1,0,0,0,0,0,0,0
0,binary tree maximum path sum path binary tree sequence node pair adjacent node sequence edge connecting them node appear sequence once note path need pas root path sum path sum node value path given root binary tree return maximum path sum nonempty path,0,0,1,0,0,0,0,1,0,0
0,valid palindrome phrase palindrome converting uppercase letter lowercase letter removing nonalphanumeric character read forward backward alphanumeric character include letter number given string return true palindrome false otherwise,0,1,0,0,0,0,0,0,0,0
4,word ladder transformation sequence word beginword word endword using dictionary wordlist sequence word beginword that given two word beginword endword dictionary wordlist return shortest transformation sequence beginword endword empty list sequence exists sequence returned list word beginword,0,1,0,0,1,0,0,0,1,0
3,word ladder transformation sequence word beginword word endword using dictionary wordlist sequence word beginword that given two word beginword endword dictionary wordlist return number word shortest transformation sequence beginword endword sequence exists,0,1,0,0,1,0,0,0,1,0
0,longest consecutive sequence given unsorted array integer nums return length longest consecutive element sequence must write algorithm run time,1,0,0,0,1,0,0,0,0,0
3,sum root leaf number given root binary tree containing digit only roottoleaf path tree represents number return total sum roottoleaf number test case generated answer fit bit integer leaf node node child,0,0,0,0,0,0,0,1,0,0
1,surrounded region given matrix board containing capture region directionally surrounded region captured flipping surrounded region,1,0,0,0,0,0,0,1,1,0
0,palindrome partitioning given string partition every substring partition palindrome return possible palindrome partitioning palindrome string string read backward forward,0,1,1,0,0,0,0,0,0,0
0,palindrome partitioning given string partition every substring partition palindrome return minimum cut needed palindrome partitioning,0,1,1,0,0,0,0,0,0,0
4,clone graph given reference node connected undirected graph return deep copy clone graph node graph contains value int list listnode neighbor test case format simplicity node value node index indexed example first node val second node val graph represented test case using adjacency list adjacency list collection unordered list used represent finite graph list describes set neighbor node graph given node always first node val must return copy given node reference cloned graph,0,0,0,0,1,0,0,1,1,0
2,gas station gas station along circular route amount gas ith station gasi car unlimited gas tank cost costi gas travel ith station next station begin journey empty tank one gas station given two integer array gas cost return starting gas station index travel around circuit clockwise direction otherwise return exists solution guaranteed unique,1,0,0,0,0,1,0,0,0,0
0,candy child standing line child assigned rating value given integer array rating giving candy child subjected following requirement return minimum number candy need distribute candy child,1,0,0,0,0,1,0,0,0,0
0,single number given nonempty array integer nums every element appears twice except one find single one must implement solution linear runtime complexity use constant extra space,1,0,0,0,0,0,0,0,0,0
0,single number given integer array nums every element appears three time except one appears exactly once find single element return must implement solution linear runtime complexity use constant extra space,1,0,0,0,0,0,0,0,0,0
0,copy list random pointer linked list length given node contains additional random pointer could point node list null construct deep copy list deep copy consist exactly brand new node new node value set value corresponding original node next random pointer new node point new node copied list pointer original list copied list represent list state none pointer new list point node original list example two node original list xrandom corresponding two node copied list xrandom return head copied linked list linked list represented inputoutput list node node represented pair val randomindex where code given head original linked list,0,0,0,0,1,0,0,0,0,0
0,word break given string dictionary string worddict return true segmented spaceseparated sequence one dictionary word note word dictionary may reused multiple time segmentation,0,1,1,0,1,0,0,0,0,0
0,word break given string dictionary string worddict add space construct sentence word valid dictionary word return possible sentence order note word dictionary may reused multiple time segmentation,0,1,1,0,1,0,0,0,0,0
0,linked list cycle given head head linked list determine linked list cycle cycle linked list node list reached continuously following next pointer internally po used denote index node tail next pointer connected note po passed parameter return true cycle linked list otherwise return false,0,0,0,0,1,0,0,0,0,0
2,linked list cycle given head linked list return node cycle begin cycle return null cycle linked list node list reached continuously following next pointer internally po used denote index node tail next pointer connected indexed cycle note po passed parameter modify linked list,0,0,0,0,1,0,0,0,0,0
0,binary tree preorder traversal given root binary tree return preorder traversal node value,0,0,0,0,0,0,0,1,0,0
0,binary tree postorder traversal given root binary tree return postorder traversal node value,0,0,0,0,0,0,0,1,0,0
1,lru cache design data structure follows constraint least recently used lru cache implement lrucache class function get put must run average time complexity,0,0,0,0,1,0,0,0,0,0
0,insertion sort list given head singly linked list sort list using insertion sort return sorted list head step insertion sort algorithm following graphical example insertion sort algorithm partially sorted list black initially contains first element list one element red removed input data inserted inplace sorted list iteration,0,0,0,0,0,0,1,0,0,0
0,sort list given head linked list return list sorting ascending order,0,0,0,0,0,0,1,0,0,0
0,max point line given array point pointsi represents point plane return maximum number point lie straight line,1,0,0,1,1,0,0,0,0,0
0,evaluate reverse polish notation evaluate value arithmetic expression reverse polish notation valid operator operand may integer another expression note division two integer truncate toward zero guaranteed given rpn expression always valid mean expression would always evaluate result division zero operation,1,0,0,1,0,0,0,0,0,0
0,reverse word string given input string reverse order word word defined sequence nonspace character word separated least one space return string word reverse order concatenated single space note may contain leading trailing space multiple space two word returned string single space separating word include extra space,0,1,0,0,0,0,0,0,0,0
1,maximum product subarray given integer array nums find contiguous nonempty subarray within array largest product return product test case generated answer fit bit integer subarray contiguous subsequence array,1,0,1,0,0,0,0,0,0,0
18,find minimum rotated sorted array suppose array length sorted ascending order rotated time example array nums might become notice rotating array time result array given sorted rotated array nums unique element return minimum element array must write algorithm run olog time,1,0,0,0,0,0,0,0,0,1
18,find minimum rotated sorted array suppose array length sorted ascending order rotated time example array nums might become notice rotating array time result array given sorted rotated array nums may contain duplicate return minimum element array must decrease overall operation step much possible,1,0,0,0,0,0,0,0,0,1
1,intersection two linked list given head two singly linkedlists heada headb return node two list intersect two linked list intersection all return null example following two linked list begin intersect node test case generated cycle anywhere entire linked structure note linked list must retain original structure function return custom judge input judge given follows your program given input judge create linked structure based input pas two head heada headb program correctly return intersected node solution accepted,0,0,0,0,1,0,0,0,0,0
1,find peak element peak element element strictly greater neighbor given integer array nums find peak element return index array contains multiple peak return index peak may imagine nums numsn must write algorithm run olog time,1,0,0,0,0,0,0,0,0,1
1,maximum gap given integer array nums return maximum difference two successive element sorted form array contains le two element return must write algorithm run linear time us linear extra space,1,0,0,0,0,0,1,0,0,0
23,compare version number given two version number version version compare them version number consist one revision joined dot revision consists digit may contain leading zero every revision contains least one character revision indexed left right leftmost revision revision next revision revision example valid version number compare version number compare revision lefttoright order revision compared using integer value ignoring leading zero mean revision considered equal version number specify revision index treat revision example version le version revision same revision respectively return following,0,1,0,0,0,0,0,0,0,0
1,fraction recurring decimal given two integer representing numerator denominator fraction return fraction string format fractional part repeating enclose repeating part parenthesis multiple answer possible return them guaranteed length answer string le given input,0,1,0,1,1,0,0,0,0,0
11,two sum input array sorted given indexed array integer number already sorted nondecreasing order find two number add specific target number let two number numbersindex numbersindex index index numberslength return index two number index index added one integer array index index length test generated exactly one solution may use element twice solution must use constant extra space,1,0,0,0,0,0,0,0,0,1
0,excel sheet column title given integer columnnumber return corresponding column title appears excel sheet example,0,1,0,1,0,0,0,0,0,0
1,majority element given array nums size return majority element majority element element appears time may assume majority element always exists array,1,0,0,0,1,0,1,0,0,0
0,excel sheet column number given string columntitle represents column title appear excel sheet return corresponding column number example,0,1,0,1,0,0,0,0,0,0
5,factorial trailing zero given integer return number trailing zero note,0,0,0,1,0,0,0,0,0,0
3,dungeon game demon captured princess imprisoned bottomright corner dungeon dungeon consists room laid grid valiant knight initially positioned topleft room must fight way dungeon rescue princess knight initial health point represented positive integer point health point drop below dy immediately room guarded demon represented negative integer knight loses health upon entering room room either empty represented contain magic orb increase knight health represented positive integer reach princess quickly possible knight decides move rightward downward step return knight minimum initial health rescue princess note room contain threat powerups even first room knight enters bottomright room princess imprisoned,1,0,1,0,0,0,0,0,0,0
0,largest number given list nonnegative integer nums arrange form largest number return since result may large need return string instead integer,0,1,0,0,0,1,1,0,0,0
1,repeated dna sequence dna sequence composed series nucleotide abbreviated studying dna useful identify repeated sequence within dna given string represents dna sequence return letterlong sequence substring occur dna molecule may return answer order,0,1,0,0,1,0,0,0,0,0
0,best time buy sell stock given integer array price pricesi price given stock ith day integer find maximum profit achieve may complete transaction note may engage multiple transaction simultaneously must sell stock buy again,1,0,1,0,0,0,0,0,0,0
0,rotate array given array rotate array right step nonnegative,1,0,0,1,0,0,0,0,0,0
0,house robber professional robber planning rob house along street house certain amount money stashed constraint stopping robbing adjacent house security system connected automatically contact police two adjacent house broken night given integer array nums representing amount money house return maximum amount money rob tonight without alerting police,1,0,1,0,0,0,0,0,0,0
0,binary tree right side view given root binary tree imagine standing right side return value node see ordered top bottom,0,0,0,0,0,0,0,1,1,0
3,number island given binary grid grid represents map land water return number island island surrounded water formed connecting adjacent land horizontally vertically may assume four edge grid surrounded water,1,0,0,0,0,0,0,1,1,0
0,happy number write algorithm determine number happy happy number number defined following process return true happy number false not,0,0,0,1,1,0,0,0,0,0
0,count prime given integer return number prime number strictly le,1,0,0,1,0,0,0,0,0,0
0,isomorphic string given two string determine isomorphic two string isomorphic character replaced get occurrence character must replaced another character preserving order character two character may map character character may map itself,0,1,0,0,1,0,0,0,0,0
2,course schedule total numcourses course take labeled numcourses given array prerequisite prerequisitesi indicates must take course first want take course return true finish course otherwise return false,0,0,0,0,0,0,0,1,1,0
0,implement trie prefix tree trie pronounced try prefix tree tree data structure used efficiently store retrieve key dataset string various application data structure autocomplete spellchecker implement trie class,0,1,0,0,1,0,0,0,0,0
3,minimum size subarray sum given array positive integer nums positive integer target return minimal length contiguous subarray numsl numsl numsr numsr sum greater equal target subarray return instead,1,0,0,0,0,0,0,0,0,1
2,course schedule total numcourses course take labeled numcourses given array prerequisite prerequisitesi indicates must take course first want take course return ordering course take finish course many valid answer return them impossible finish course return empty array,0,0,0,0,0,0,0,1,1,0
0,design add search word data structure design data structure support adding new word finding string match previously added string implement worddictionary class example constraint,0,1,0,0,0,0,0,1,0,0
0,word search given board character list string word return word board word must constructed letter sequentially adjacent cell adjacent cell horizontally vertically neighboring letter cell may used word,1,1,0,0,0,0,0,0,0,0
0,house robber professional robber planning rob house along street house certain amount money stashed house place arranged circle mean first house neighbor last one meanwhile adjacent house security system connected automatically contact police two adjacent house broken night given integer array nums representing amount money house return maximum amount money rob tonight without alerting police,1,0,1,0,0,0,0,0,0,0
0,shortest palindrome given string convert palindrome adding character front return shortest palindrome find performing transformation,0,1,0,0,0,0,0,0,0,0
0,kth largest element array given integer array nums integer return kth largest element array note kth largest element sorted order kth distinct element,1,0,0,0,0,0,1,0,0,0
0,combination sum iii find valid combination number sum following condition true return list possible valid combination list must contain combination twice combination may returned order,1,0,0,0,0,0,0,0,0,0
0,contains duplicate given integer array nums return true value appears least twice array return false every element distinct,1,0,0,0,1,0,1,0,0,0
23,skyline problem city skyline outer contour silhouette formed building city viewed distance given location height building return skyline formed building collectively geometric information building given array building buildingsi lefti righti heighti may assume building perfect rectangle grounded absolutely flat surface height skyline represented list key point sorted xcoordinate form xyxy key point left endpoint horizontal segment skyline except last point list always ycoordinate used mark skyline termination rightmost building end ground leftmost rightmost building part skyline contour note must consecutive horizontal line equal height output skyline instance acceptable three line height merged one final output such,1,0,0,0,0,0,0,0,0,0
0,contains duplicate given integer array nums integer return true two distinct index array numsi numsj absi,1,0,0,0,1,0,0,0,0,0
0,contains duplicate iii given integer array nums two integer return true two distinct index array absnumsi numsj absi,1,0,0,0,0,0,1,0,0,0
3,maximal square given binary matrix filled find largest square containing return area,1,0,1,0,0,0,0,0,0,0
2,count complete tree node given root complete binary tree return number node tree according wikipedia every level except possibly last completely filled complete binary tree node last level far left possible node inclusive last level design algorithm run le time complexity,0,0,0,0,0,0,0,1,0,1
